"","Q80ZM5","E9Q827","P20357","D3YXH0","E9PUL5","Q9Z0E6","Q921I1","P14069","P16110","P41731","G3X977","P10605","Q8BTM8","P03995","P20152","P98086","P08226","P49935","Q61838","P26041","P07724","P07356","P43275","P18242","P28665","P51885","E9Q0H6","P08905","Q91X72","E9Q616","Q61233","O08692","P19324","O35744","P97371","P16045","E9PWQ3","P27005","Q9Z1Q5","A0A0A0MQA3","F6TQW2","A0A0R4J0I1","P20060","P14106","P26039","P31725","P11276","P28654","P23953","Q99L04"
"Q80ZM5",1,0.996944265017701,0.996055038077126,0.996798003934013,0.993857438746618,-0.994251389250274,-0.994417307502976,-0.994020562040311,-0.994806317263431,-0.999173718154749,-0.999263113716587,-0.99631514654633,-0.995428700839283,-0.995517731211076,-0.996051284653154,-0.997216198245314,-0.996281038012722,-0.99549000177843,-0.995696146570212,-0.997139402471431,-0.996343705936475,-0.996050459512713,-0.995531656300913,-0.994091717456288,-0.990968980063716,-0.991423672360907,-0.997003476417636,-0.992218443718123,-0.992914170511937,-0.996894086669254,-0.994879829891468,-0.997030077952598,-0.99630582994914,-0.997171196822837,-0.997242318303302,-0.998200311980836,-0.997103424833493,-0.996459317392568,-0.990139162812034,-0.994424147214862,-0.99616687805278,-0.994549173132592,-0.993742789887022,-0.993573574764708,-0.996091509845559,-0.993842690760951,-0.99058535122308,-0.993417944859327,-0.995868484647817,-0.993527551886076
"E9Q827",0.996944265017701,1,0.999787367576283,0.997106158549492,0.997407531849146,-0.996309811864636,-0.998053735047046,-0.998029204949089,-0.997544046514421,-0.99846324661739,-0.996851241603763,-0.999582219417471,-0.999725235145708,-0.999601885151148,-0.999748578669127,-0.999512800809798,-0.999511544460112,-0.998539256821004,-0.998775927263812,-0.999503550892015,-0.999383006521342,-0.999145343813644,-0.998475849892046,-0.997952207096351,-0.998088542433671,-0.997093392289983,-0.997770004813975,-0.994731696192686,-0.994925782512805,-0.997410818964337,-0.99864151051514,-0.999548576817404,-0.999438529481995,-0.997426689170141,-0.997351772932259,-0.998978493371713,-0.99924760033785,-0.999220604979456,-0.996039704309393,-0.996454753654107,-0.997196280634091,-0.996948065496014,-0.997220581544298,-0.996827253027442,-0.997203998008015,-0.995241409235618,-0.996460373318587,-0.994667642869432,-0.998015097711572,-0.995432576258811
"P20357",0.996055038077126,0.999787367576283,1,0.996748629736081,0.996958909466765,-0.996544071243825,-0.997637933180173,-0.998183418747238,-0.997441338544479,-0.998156740998594,-0.996052456636684,-0.999721835125282,-0.999781035570645,-0.999791160402834,-0.999657952777668,-0.999674439514021,-0.999810421275833,-0.999186314573133,-0.999414929851941,-0.999227468411055,-0.99932516297148,-0.999380654409527,-0.998523060847402,-0.998303805372257,-0.998814416159989,-0.998043606322536,-0.998378247470832,-0.995893670787683,-0.995978784560361,-0.99595565736158,-0.998094007355346,-0.998913765645787,-0.998877248396618,-0.996512912927289,-0.99648392658595,-0.998339521006123,-0.998479860728228,-0.998349463017305,-0.996262739153311,-0.995927785887292,-0.997015628804867,-0.996800912168079,-0.997327442447477,-0.997224020048772,-0.996990938354045,-0.995082020869915,-0.997788281253617,-0.995642274080412,-0.99856006816998,-0.995845550474525
"D3YXH0",0.996798003934013,0.997106158549492,0.996748629736081,1,0.997926223221193,-0.996869748081148,-0.997515134815798,-0.997451156669091,-0.998546510414867,-0.997779872053576,-0.996237415425945,-0.995282551997487,-0.996588326753395,-0.995637030513097,-0.995641081985799,-0.99755329073347,-0.997675071768232,-0.99641403677752,-0.997506065194346,-0.99838188102235,-0.997022082263258,-0.997302521043637,-0.992235604753805,-0.991372110579825,-0.992287542737851,-0.990153926843134,-0.995258937342283,-0.989937252212274,-0.989335391926439,-0.997682714603108,-0.998313284295318,-0.998117329824672,-0.998187556213819,-0.995792956847524,-0.995622632385674,-0.994876963909505,-0.994743336479665,-0.994847313881072,-0.997318407148172,-0.999441028120357,-0.999934377736082,-0.999266019913544,-0.999137435319363,-0.999004274623742,-0.999564828750375,-0.999426869042608,-0.994349512067794,-0.997446514833079,-0.9986255702811,-0.998551379481841
"E9PUL5",0.993857438746618,0.997407531849146,0.996958909466765,0.997926223221193,1,-0.992657890911105,-0.996196066034327,-0.995619805571346,-0.996143209449227,-0.994751444791681,-0.992089339174282,-0.995781149410635,-0.996704278464337,-0.995557381594654,-0.995743429226001,-0.99614649732832,-0.996886068653562,-0.994387246540836,-0.99625857293231,-0.997193158995149,-0.995650643206978,-0.995614421181851,-0.9923589886302,-0.991092801673515,-0.994620910905824,-0.99079237576601,-0.993335886744056,-0.9863378012142,-0.986420190985497,-0.997956511778718,-0.999302222228613,-0.998677639840158,-0.998753853008687,-0.997518845671332,-0.997273248976985,-0.994893488919462,-0.995162459154034,-0.996237055160377,-0.99838801713161,-0.998778918230363,-0.998264322958426,-0.999387177265991,-0.998656573963126,-0.997751093953105,-0.996741191589587,-0.996899880009586,-0.995631548398599,-0.993281806285656,-0.997322508796345,-0.99799868222
"Q9Z0E6",-0.994251389250274,-0.996309811864636,-0.996544071243825,-0.996869748081148,-0.992657890911105,1,0.998540467400437,0.999303442170676,0.999292123600382,0.997528489480683,0.996515116361342,0.995035540728456,0.997239806620998,0.996854883465084,0.996478835258431,0.997981094917221,0.997797810430601,0.99834744589713,0.99764292215707,0.998271350457258,0.998501046454264,0.998818438112615,0.993624276977227,0.994298299877956,0.993245443530339,0.993111238536257,0.995154063426228,0.995338691292482,0.993733289283201,0.993349364126449,0.9956291076038,0.995733545479797,0.996205948547815,0.989703037365048,0.989549401071851,0.993480339754757,0.994320607752394,0.993402438656358,0.994964351227677,0.995680334247766,0.996802397875619,0.994742030801321,0.996700057652353,0.997256446816862,0.998665544548563,0.997103385303982,0.993065698500196,0.997806249294445,0.996824975884482,0.993773750072833
"Q921I1",-0.994417307502976,-0.998053735047046,-0.997637933180173,-0.997515134815798,-0.996196066034327,0.998540467400437,1,0.999587364416992,0.999588365984659,0.997046856743596,0.995910647757712,0.996221936420679,0.998630054038517,0.997801085900153,0.997912190662138,0.998073441218239,0.998193037966449,0.997397535923538,0.99723471824164,0.999299612913052,0.999072538969319,0.998778230948809,0.994518788636968,0.994588890459595,0.995059410525531,0.993223840190723,0.993890309450514,0.992299666546701,0.991108572945642,0.996964406243407,0.998672186486845,0.998359212576732,0.998837512953525,0.993040168462606,0.992733016170993,0.9952571492328,0.996747298277633,0.996677686514243,0.997294901846257,0.997727724465838,0.997500117634483,0.996616253443688,0.99796342687794,0.997579752955821,0.998736367036645,0.997465560011262,0.993384782839036,0.995199809645295,0.996541496812856,0.994316122422397
"P14069",-0.994020562040311,-0.998029204949089,-0.998183418747238,-0.997451156669091,-0.995619805571346,0.999303442170676,0.999587364416992,1,0.99971833221019,0.997295137988698,0.995628792425993,0.996735591998607,0.998889450772934,0.998310530121565,0.998044101995961,0.998702985120526,0.998910357729365,0.99869341163364,0.998469319786349,0.999240160598981,0.99930969175785,0.999439345228595,0.99499459805579,0.995444150426601,0.996042610172077,0.994769103349559,0.99537134925964,0.99453614355649,0.993239255586091,0.995258202481922,0.997981959346631,0.997711396647883,0.998230451127687,0.992183031679148,0.991964077046287,0.994874929570748,0.996033844557624,0.995716555027422,0.997480922381203,0.997192839290241,0.997618840773742,0.99660736529384,0.998249918308955,0.998334023868514,0.998840753068855,0.997557816416682,0.995311811730325,0.997080893487463,0.997678160979513,0.995185885447158
"P16110",-0.994806317263431,-0.997544046514421,-0.997441338544479,-0.998546510414867,-0.996143209449227,0.999292123600382,0.999588365984659,0.99971833221019,1,0.997513469042845,0.99611978667097,0.995770530052257,0.998118075054738,0.997292601293078,0.997139236213991,0.998268740440435,0.998413294705062,0.997930841919554,0.997974476326518,0.999177628467824,0.998785138357093,0.998912209081683,0.993583665386929,0.993725583407958,0.994261056255675,0.992642739253113,0.994750384502635,0.992866561824876,0.991506564122918,0.996236229216164,0.998233494990452,0.997807804120877,0.998287744076424,0.992624114269036,0.992373745664394,0.994435904665171,0.995439146356239,0.995201018251877,0.997661154399424,0.998307103047923,0.99857319570599,0.997442198229971,0.998750473080476,0.998763290901065,0.999623260090811,0.998767668256523,0.99427751265527,0.997438875911031,0.997768006047321,0.996020458591925
"P41731",-0.999173718154749,-0.99846324661739,-0.998156740998594,-0.997779872053576,-0.994751444791681,0.997528489480683,0.997046856743596,0.997295137988698,0.997513469042845,1,0.999454508290492,0.99796182594265,0.997879629377353,0.997969282461641,0.998094055826069,0.999222278168053,0.998596864967481,0.99840431803586,0.998245078076759,0.998957791692452,0.998725847205491,0.998709075343747,0.997130984467444,0.996540327971491,0.994244246683094,0.994702958458551,0.998447270664692,0.995716723132635,0.995730802237535,0.996520558726537,0.996408797338506,0.997975427460359,0.997648424297374,0.996065692725106,0.996096759187062,0.998330336268195,0.99783788408371,0.997065288721532,0.9931728016001,0.995721778878496,0.997443455359472,0.995792158342067,0.996019079200254,0.99617730342679,0.997978828184784,0.995782549162621,0.993799875012026,0.996393485143757,0.997850534723474,0.994962417010905
"G3X977",-0.999263113716587,-0.996851241603763,-0.996052456636684,-0.996237415425945,-0.992089339174282,0.996515116361342,0.995910647757712,0.995628792425993,0.99611978667097,0.999454508290492,1,0.99607721971263,0.996034520987625,0.996186977954306,0.996631291472104,0.997639325386495,0.996558662125725,0.996469685855422,0.995843606988578,0.997698602924565,0.99748826569264,0.997119442203138,0.995889534287162,0.995126768849293,0.991127413152063,0.992201473173699,0.996604749991031,0.994262046349008,0.994293958419525,0.995955868717784,0.994470458855744,0.996535438796475,0.996073966580331,0.99457037626129,0.994590746533891,0.997628777432717,0.997212084586083,0.996155222491861,0.989891016791236,0.993807591977211,0.9955338952512,0.993190424627091,0.993400566669948,0.993445251369781,0.996648533455685,0.9939204883616,0.989632603998455,0.99398255412682,0.995243399436196,0.991756312297933
"P10605",-0.99631514654633,-0.999582219417471,-0.999721835125282,-0.995282551997487,-0.995781149410635,0.995035540728456,0.996221936420679,0.996735591998607,0.995770530052257,0.99796182594265,0.99607721971263,1,0.999289755084568,0.999624405767955,0.999611100210025,0.999269708655138,0.999200138377346,0.998623089853944,0.99870560003129,0.998461274410469,0.998743392619414,0.998656474641593,0.999405145619582,0.999010340049994,0.998741590299643,0.998580293884261,0.998681261033939,0.996202835817166,0.996768931546167,0.995276044798014,0.996902578303028,0.998367322013309,0.998097699540771,0.996872428665934,0.996920653802047,0.999076641127381,0.998920441477216,0.998674248025254,0.994118006806336,0.994048468992683,0.995474353963632,0.995232298642302,0.995503020175331,0.995352954961691,0.995344361983572,0.992855328937635,0.997012825890022,0.993943948752622,0.997554578967526,0.994246601081244
"Q8BTM8",-0.995428700839283,-0.999725235145708,-0.999781035570645,-0.996588326753395,-0.996704278464337,0.997239806620998,0.998630054038517,0.998889450772934,0.998118075054738,0.997879629377353,0.996034520987625,0.999289755084568,1,0.999850232015096,0.999799757091598,0.999517074832208,0.999656741658284,0.999032526833022,0.998994196982217,0.999497128754194,0.999700585449757,0.999572252632952,0.998203737189194,0.998173784550937,0.998643606993398,0.997659886431589,0.997297815969722,0.99554318117325,0.995292906475415,0.996229245341183,0.998432936674729,0.99899879901869,0.999130122618509,0.995554830868045,0.995443612598353,0.997923509017076,0.99861620577141,0.998494911846923,0.996599988369987,0.996139913695299,0.996807566792907,0.996458919524864,0.997368781675761,0.997138897186981,0.997276966127424,0.995316390392815,0.99682853236957,0.995174444776541,0.997879165908357,0.994934223280031
"P03995",-0.995517731211076,-0.999601885151148,-0.999791160402834,-0.995637030513097,-0.995557381594654,0.996854883465084,0.997801085900153,0.998310530121565,0.997292601293078,0.997969282461641,0.996186977954306,0.999624405767955,0.999850232015096,1,0.999901977243817,0.999555025052903,0.999554558918399,0.999238398705861,0.998979319857606,0.999100596138919,0.999579051472237,0.999483707697957,0.998995695394673,0.99904388009903,0.998880699619468,0.998573308205737,0.997983006454306,0.99675378419844,0.996701814114015,0.995206067665466,0.997412039615036,0.998417023784693,0.998434246073814,0.995258027762003,0.995220547844428,0.998271089214432,0.998730146091076,0.998391001479026,0.99522764338862,0.994734167781272,0.995843265963577,0.995316987569437,0.996267518124153,0.996188452823247,0.996392335903387,0.993989225731469,0.996796740645941,0.99482041620796,0.997561733616629,0.994008722881659
