"","A0A0U1RPY2","D3YXH0","E9PUL5","P29416","Q9Z1T1","P28654","P10605","P23953","Q9JKF1","P10107","A0A0R4J0I1","P21614","P14069","P43276","O89017","Q00898","P26039","P28653","Q9WUU7","Q61233","P43275","Q61838","P11438","Q9Z1Q5","P20060","P28665","P19324","P50543","P16110","Q921I1","P03995","P20152","P26041","P07724","O08692","P31725","Q99P91","P07356","A0A0A0MQA3","P27005","P49935","P01837","P16045","P15864","P18242","F6TQW2","P98086","F6WR04","P08905","Q91X72"
"A0A0U1RPY2",1,0.997770050496688,0.993912286088031,-0.997250564536699,-0.999009226061925,-0.997528467096783,-0.99575978484007,-0.995931423502585,-0.994769849561493,-0.99561299625447,-0.995578060154234,-0.992221569104422,-0.992127759021681,-0.992620628723904,-0.995356799032422,-0.99416168129374,-0.993314053075514,-0.995924083055673,-0.992948983812063,-0.991718967431159,-0.994629899075595,-0.992451074424235,-0.988344842149855,-0.990411173904907,-0.9939424920669,-0.992349293701313,-0.995209603980318,-0.994312412686114,-0.996037660355772,-0.995075889835702,-0.99556709628782,-0.995649728382075,-0.996357663794755,-0.996268920386125,-0.995842240492303,-0.996687592610892,-0.995738802915593,-0.996567589096705,-0.99582389811371,-0.994563900890378,-0.993960983850433,-0.995951868634006,-0.996741521102948,-0.998251109479005,-0.996169134318064,-0.996793584584647,-0.997111236442688,-0.997953531667802,-0.998430063284709,-0.998417446827868
"D3YXH0",0.997770050496688,1,0.998976153645812,-0.997928060496759,-0.997182106366339,-0.998804982871577,-0.998960761089633,-0.998811062789455,-0.998599977902892,-0.998733472291438,-0.998773737255114,-0.996028681261772,-0.996806728358701,-0.996545143481687,-0.998549699083838,-0.997625063552331,-0.996653314918821,-0.997117226017386,-0.99831442279648,-0.997479465981451,-0.998443425886131,-0.997384707360236,-0.995958891881869,-0.996793996960016,-0.998944251896282,-0.998209577347174,-0.998560606704449,-0.9973106278308,-0.999065884367223,-0.998591050038387,-0.999480679410435,-0.999406795627873,-0.999446810468366,-0.999320948243777,-0.999247845240611,-0.999517977162831,-0.999247524450268,-0.999550167408627,-0.999594640164726,-0.998597607744111,-0.998059642464904,-0.9984441919782,-0.998642447172154,-0.998211042840176,-0.999290485026877,-0.999778002713469,-0.999648352180012,-0.999492400009954,-0.999383459657259,-0.999462047211923
"E9PUL5",0.993912286088031,0.998976153645812,1,-0.996270870044664,-0.99408495243326,-0.997790766806061,-0.998670423992416,-0.998521862636342,-0.999086267245158,-0.998837360215658,-0.998822856323365,-0.99579030175892,-0.996459468611119,-0.995721106105659,-0.997780254737493,-0.996882008734263,-0.995262839420134,-0.994530804732525,-0.99879216734449,-0.998123845877362,-0.997725010647732,-0.997214146670238,-0.998241410987389,-0.998612567982895,-0.99981125936163,-0.999840602194258,-0.998661730022259,-0.997568978969238,-0.99847581680202,-0.998154766974014,-0.99945418908384,-0.999231525904574,-0.998756500118751,-0.998665706534932,-0.9993669123534,-0.99903561157904,-0.999142000718807,-0.998931552743584,-0.999450981577311,-0.998452699240188,-0.997760271266434,-0.997256233024542,-0.997424277280436,-0.995329691673825,-0.998863871362352,-0.999385922419154,-0.999013520874257,-0.997954583866766,-0.997795285966642,-0.998031953470869
"P29416",-0.997250564536699,-0.997928060496759,-0.996270870044664,1,0.995605810562087,0.997373193585735,0.996382368649615,0.99717907876606,0.995099174426358,0.996291097958849,0.996335613566674,0.989040594988317,0.990404345975357,0.989566997056761,0.993222768896291,0.991233009879629,0.991450780127933,0.993847490240811,0.994025272526041,0.992088560520971,0.995413079257593,0.993888253062076,0.991023557921977,0.991659050388241,0.995255471569698,0.994738137578731,0.995784458418013,0.994515326341456,0.994536006433046,0.99322483823224,0.995849282238142,0.995609803376747,0.995382725999923,0.995279160367972,0.996098008812233,0.995963005992949,0.995195400370537,0.995586606413575,0.995992504454715,0.994973551058685,0.995107839391009,0.996029834121278,0.997628865533822,0.994644766031854,0.996535810807845,0.997708315289908,0.997395657937096,0.9986970056585,0.997740958216579,0.998395377981995
"Q9Z1T1",-0.999009226061925,-0.997182106366339,-0.99408495243326,0.995605810562087,1,0.998543197290999,0.995854665469961,0.996143585602016,0.996277477356091,0.996857324032165,0.99654740154705,0.993641314651818,0.991131692094987,0.991943520747877,0.995450877951044,0.994258850959409,0.991345030853997,0.993670369852899,0.991858714844286,0.990969516127979,0.992304669292438,0.989931997493699,0.988252806940243,0.991761199148192,0.994350861855785,0.993126895539347,0.995885538779481,0.996106225976399,0.996389561119946,0.995396359782019,0.995385045393987,0.995409882445677,0.996087217334837,0.996118734765701,0.996809212718226,0.997314933784951,0.99643530828982,0.996701235182109,0.995621057327554,0.993679156029744,0.992127582472138,0.994347025432559,0.995446194002901,0.997363894422878,0.995794482459203,0.996501348831911,0.997047159218559,0.996444483942796,0.998338295837991,0.99833022656363
"P28654",-0.997528467096783,-0.998804982871577,-0.997790766806061,0.997373193585735,0.998543197290999,1,0.998863662735836,0.999223488934043,0.999071419676022,0.999580822318401,0.999456028701481,0.995659166626897,0.993542252354863,0.993251643002688,0.997064591818374,0.995232809106728,0.993445640064405,0.994904342249114,0.995448660450056,0.994670874251172,0.994571687217933,0.993565447659583,0.992633747457615,0.996343004811261,0.997850574502477,0.997171095359372,0.997421312608103,0.9972874774078,0.997495597095475,0.996696400430909,0.997633468255682,0.997390652511453,0.997523837667322,0.997365549481792,0.99886753919315,0.999037206086989,0.998658050875554,0.998285662169407,0.998002541515071,0.995498799859478,0.994146109363921,0.995140534352301,0.996262120282825,0.996121780442494,0.997277251591283,0.998461405704498,0.99844546175051,0.997551509333788,0.998620035984775,0.999023521113468
"P10605",-0.99575978484007,-0.998960761089633,-0.998670423992416,0.996382368649615,0.995854665469961,0.998863662735836,1,0.999854080482665,0.999178263127939,0.999449494273051,0.999710515827805,0.997489938323107,0.996694828407973,0.995697453172363,0.998528049993968,0.996530065100943,0.996882717410975,0.997372384833864,0.998128120716877,0.997810090400212,0.996565532077679,0.997051531602809,0.994635190779752,0.998420103859358,0.999069355742738,0.998093978655955,0.996352834186061,0.995176582078853,0.997644023445553,0.997430834014455,0.998377622490298,0.99806752116927,0.998163223071492,0.997686368461845,0.998470133191676,0.99913682267365,0.99927557982701,0.9987954209733,0.998993527074283,0.996162225157463,0.995228521566906,0.995129734559543,0.995369281380612,0.995481389164685,0.997056944158422,0.99834341190683,0.99787477921839,0.997239443066196,0.997216246875175,0.99764001081485
"P23953",-0.995931423502585,-0.998811062789455,-0.998521862636342,0.99717907876606,0.996143585602016,0.999223488934043,0.999854080482665,1,0.99907189808685,0.999583672141411,0.99978843993887,0.996367725442738,0.995241495057698,0.994141579663726,0.997599192146163,0.995301245284296,0.995555430626692,0.99651898808861,0.997264280403804,0.99670578980194,0.995790595919685,0.996109505714993,0.993815732340109,0.997833226452135,0.998688740961934,0.997859989816136,0.99627804777509,0.995327662155627,0.996997493213637,0.996542579213235,0.997882196861624,0.997511699845542,0.99751922346716,0.997074107023012,0.99834886437604,0.998823468385501,0.998839880813259,0.998263514989432,0.998500285810823,0.995523455668541,0.994582811682383,0.994672952499346,0.99537225170298,0.994825123214643,0.996765943203797,0.998263164774842,0.997786995377663,0.997255815076347,0.997283977904773,0.997873262252335
"Q9JKF1",-0.994769849561493,-0.998599977902892,-0.999086267245158,0.995099174426358,0.996277477356091,0.999071419676022,0.999178263127939,0.99907189808685,1,0.999819675688828,0.999720069211219,0.99769921330164,0.995890315915987,0.995471012936043,0.998341607134751,0.997044848340985,0.994757569066769,0.994566909446746,0.997417540830466,0.997165260673508,0.995485614172131,0.995088313412142,0.99592460941982,0.998966298614923,0.999421194148568,0.999082520304078,0.99802622901878,0.997723478747751,0.998495427567455,0.998191185468551,0.998737756108007,0.998488651886049,0.998394742145983,0.998228013108255,0.999549130711952,0.999566451036414,0.999650911983418,0.999044087307802,0.999005614015829,0.996729015755263,0.995210987691007,0.995294110698949,0.995667738846265,0.995436750334953,0.997775252889877,0.998626968503865,0.998476994136356,0.996665087582311,0.997725615442299,0.997963466386102
"P10107",-0.99561299625447,-0.998733472291438,-0.998837360215658,0.996291097958849,0.996857324032165,0.999580822318401,0.999449494273051,0.999583672141411,0.999819675688828,1,0.999951558491779,0.996930270915054,0.994978742010198,0.994360815344771,0.997801419953844,0.996026622478715,0.99439455578404,0.99490948876287,0.996880379299293,0.99641875178697,0.995153098492377,0.9948310253556,0.994691224541601,0.998331657613067,0.999034107043977,0.998570401871289,0.997565928716873,0.997249457596397,0.997861691924751,0.99736748031078,0.998288881209688,0.997979267801301,0.997919817423491,0.997686605805204,0.999263811015917,0.999359057230721,0.999328304503872,0.998684191353987,0.998679978801087,0.996046492236219,0.994645710442212,0.994932943606003,0.995676043704795,0.995199789054583,0.997404277023185,0.998575209519918,0.998359081911359,0.996978044543573,0.997856913637808,0.998277779547882
