Accession,MSC-exo-2,MSC-2
P02452,249.4445324,19.78559639
Q99715,270.9980619,35.26861029
P02751,217.6162182,37.90455669
Q14204,173.8048234,86.32512071
P02768,83.41382974,6.480095811
P98160,162.5326964,32.49900429
A0A087WTA8,201.0668869,20.7782142
P01023,233.2641269,13.57875095
P02461,206.0266819,27.23579391
P02787,98.76666667,12.95768946
P12111,221.0379885,38.01388494
P01024,261.1148663,16.00081476
P11047,346.8973428,24.87064893
A0A2R8Y793,168.5903643,66.71868869
P07942,344.9363268,25.0245894
P49327,168.0499113,79.01666667
O00468,228.0764555,25.45121828
P00738,150.7858207,11.96161712
P24043,316.880297,22.57772427
Q14112,304.0314606,21.50273546
P07814,177.8401237,87.433396
Q6UVK1,142.5686254,47.3497474
Q8WUM4,186.7461569,39.43452692
P35908,77.0335656,37.04721974
P07996,184.5603435,33.22572171
P04114,207.7255718,26.1276848
P01871,254.8933974,11.00340693
P35555,196.5099741,32.75481873
P68366,122.0979145,53.1258574
F8WE98,173.0305256,64.08391931
P05997,230.2597997,29.5180915
Q16363,426.9325041,20.12410367
E5RK69,166.1074185,50.72507094
P35442,292.8836009,21.55517778
P13611,269.7561603,17.09219206
Q13219,374.1940509,22.31465549
Q08380,389.9974128,14.99233852
P08253,259.9773567,13.88112438
Q13509,148.0495949,74.00008332
O15230,193.2080094,33.39131712
P12109,211.8623615,29.68325522
P35527,82.88419046,31.00440473
Q92626,299.5614445,38.20016063
P20908,225.9140395,28.8585915
P00739,189.7142892,26.52172539
P14543,358.9617607,26.76331394
O43854,283.1978712,24.03474951
P78371,164.2167404,77.48630505
P01857,142.7578222,12.53711388
P02675,273.4174864,20.37147295
P02647,167.0176771,11.51096068
A0A0A0MT26,122.7797601,50.23163059
P15144,152.1839602,46.40942056
J3QSU6,235.7800873,36.29691076
Q13200,191.4433366,75.18333333
E7ESP4,143.6678368,61.26726642
P19823,172.2648457,11.96161712
P08603,152.5708441,17.09219206
P00450,146.2943618,15.81384177
P55268,288.5996232,41.48224027
Q9Y6C2,327.260447,25.82055174
P25391,370.1220673,23.62848042
Q15582,332.3505754,27.78093036
P23142,231.8982279,29.36742989
P01876,149.978333,12.26883698
P11586,167.5051172,61.26726642
A0A286YEY4,138.0491355,8.983953346
P02774,97.28713029,11.38006544
D6RF35,129.3524573,20.87699485
P27708,212.6223865,53.49166667
P48643,160.0531726,78.38632794
Q08431,199.3104727,20.67801958
Q16555,157.4190495,67.13902888
A0A140TA44,305.3923635,22.9215705
A0A140TA32,191.1505144,25.82055174
A0A024R571,123.4703641,41.98567535
P19827,243.9253339,19.66457356
E7EQG2,115.5109869,48.02679016
A0A286YES1,167.9016854,9.635302391
P09486,140.378287,33.08925191
P09871,237.7975275,19.97387902
P17980,207.4529131,66.81617438
P26022,95.3320508,22.12291258
P35998,185.4155558,78.59126152
P08473,119.2641326,54.37520254
Q99460,171.0200064,75.88880487
B1AHL2,277.1582141,18.19370653
O60701,152.7805654,73.20082393
A0A0G2JMB2,166.2444926,11.51096068
P62195,198.4052786,67.23333333
P10909,313.6965523,9.490670722
P05121,117.6478404,46.99605641
P01834,180.0481486,13.73269731
P26640,188.554693,77.76018723
P00747,163.2368384,17.09219206
P61224,124.2653729,60.97473301
Q9Y4K0,152.5708441,37.63857128
P14868,183.3744425,70.87707515
P12110,212.2412456,38.46432438
P02679,274.392641,14.61122523
Q9Y230,169.2989551,75.11666667
D6RGZ6,284.0581901,6.256827097
P04003,224.0675399,16.00081476
P02671,256.4641945,15.38051248
Q9P2B2,182.5711153,25.95175667
P62826,186.5296389,66.38380214
B4DPQ0,231.3640233,16.84155903
P60900,244.9236657,51.12273886
Q16270,135.2095474,41.75813345
Q7L576,148.5514142,58.65364647
A0A286YFJ8,160.754442,17.34382922
P62979,135.7929212,48.61564281
O43143,150.6137769,64.81298205
O00231,189.7142892,70.68718086
P31946,105.4857203,51.50245611
Q9BXJ9,157.5037947,68.24050312
A0A024R6I7,131.5313656,8.550048823
O60462,126.7842687,59.62160358
O94808,211.1024983,84.76426302
P01008,119.45,13.88112438
Q15113,235.2532666,22.48606591
Q12841,150.4694415,33.7886527
E9PKG1,170.589725,79.62172957
P25786,216.5591435,56.02078185
Q15008,182.2381916,71.35560838
P0DOY2,204.0843127,11.00340693
Q9UKK3,214.3352327,65.82192951
P08754,123.2465318,55.33505793
O43242,168.3882518,77.87516258
P08779,110.1307293,47.53991771
A0A0B4J231,193.5656698,15.24820953
P05106,173.2100716,39.63493145
Q04721,130.6053778,56.975
P31939,172.346949,84.76426302
P35556,229.3225761,26.1276848
P17858,184.346315,73.44355177
P26006,123.9545782,51.41271446
P02649,310.5296972,22.81551841
P02790,89.91788945,15.24820953
P17948,172.0803065,29.15580332
Q14126,121.4624999,44.99915567
P39060,398.0017834,19.97387902
A1L4H1,379.3686871,24.44318156
B1ALD9,336.0975756,39.920186
P13612,111.5553444,43.01782969
A0A0A0MTH3,175.1469129,68.5787108
P28066,234.3269402,52.09108917
P43686,192.3876036,63.64020894
E9PK47,153.9085821,75.18333333
Q9UNM6,247.3160156,59.48130863
Q9H223,101.3022587,45.54314636
P12107,186.9748661,52.15
O00232,176.6506322,55.07037451
P07093,309.1723606,37.77164674
P04004,272.0518212,27.93372853
O43866,250.6809328,15.70252054
O43175,156.0861773,74.29414199
