,ĞŞÊÎÎ»µãÊı
Unigene045172_01.p1,2
Unigene012358_01.p1,2
Unigene031639_01.p1,2
Unigene006284_03.p1,2
Unigene006443_01.p1,2
Unigene001723_01.p1,2
Unigene050204_01.p1,2
Unigene037124_01.p1,3
Unigene050011_01.p1,3
Unigene048778_01.p1,3
Unigene043075_01.p1,3
Unigene021736_01.p1,3
Unigene019276_01.p1,3
Unigene039866_01.p1,3
Unigene008103_01.p1,3
Unigene049498_01.p1,3
Unigene000258_02.p1,3
Unigene026861_01.p1,3
Unigene050414_02.p1,3
Unigene012413_01.p1,3
Unigene036545_02.p1,3
Unigene025472_01.p2,3
Unigene050068_01.p1,3
Unigene001500_02.p1,3
Unigene040428_01.p1,3
Unigene034648_01.p1,3
Unigene049111_01.p1,3
Unigene005952_02.p1,3
Unigene022697_01.p1,3
Unigene002968_01.p1,3
Unigene037621_01.p1,3
Unigene030517_01.p1,3
Unigene008961_01.p1,3
Unigene038665_01.p1,3
Unigene005722_02.p1,3
Unigene045907_01.p1,3
Unigene037703_01.p1,3
Unigene049627_01.p1,3
Unigene037303_01.p1,3
Unigene036805_01.p1,3
Unigene048748_01.p1,3
Unigene034500_01.p1,3
Unigene032177_01.p1,3
Unigene018856_01.p1,3
Unigene013133_01.p1,3
Unigene041157_01.p1,3
Unigene018825_01.p1,3
Unigene006771_01.p1,3
Unigene043850_01.p1,3
Unigene043644_01.p1,3
Unigene013443_01.p1,3
Unigene047558_01.p1,3
Unigene005773_01.p1,3
Unigene032346_01.p1,3
Unigene006560_02.p1,3
Unigene049539_01.p1,3
Unigene042718_01.p1,3
Unigene039597_01.p1,3
Unigene007135_01.p1,3
Unigene028542_01.p1,3
Unigene015343_01.p1,3
Unigene036631_01.p1,3
Unigene044047_01.p1,3
Unigene032964_01.p1,3
Unigene016082_01.p1,3
Unigene046534_01.p1,3
Unigene048345_01.p1,3
Unigene001179_01.p1,3
Unigene042978_01.p1,3
Unigene000139_01.p1,3
Unigene043363_01.p1,3
Unigene004729_01.p1,3
Unigene000615_02.p1,3
Unigene013018_01.p1,3
Unigene048491_01.p1,3
Unigene006727_02.p1,3
Unigene048664_01.p1,3
Unigene045206_01.p1,3
Unigene021023_01.p1,3
Unigene017427_01.p1,3
Unigene046468_01.p1,3
Unigene028270_01.p1,3
Unigene017822_02.p1,3
Unigene016947_01.p1,3
Unigene039357_01.p1,3
Unigene015217_01.p1,3
Unigene011555_01.p1,3
Unigene047625_01.p1,3
Unigene039643_01.p1,3
Unigene005749_01.p1,3
Unigene005912_02.p1,3
Unigene019903_01.p1,3
Unigene030524_01.p1,3
Unigene029340_01.p1,3
Unigene034716_01.p1,3
Unigene002144_01.p1,3
Unigene012222_01.p1,3
Unigene026881_01.p1,3
Unigene001590_02.p1,3
Unigene010054_01.p1,3
Unigene032785_01.p1,3
Unigene004778_01.p1,3
Unigene023810_01.p1,3
Unigene001210_01.p1,3
Unigene002188_01.p1,3
Unigene047284_01.p1,3
Unigene028528_01.p1,3
Unigene016498_01.p1,3
Unigene042542_01.p1,3
Unigene034410_01.p1,3
Unigene002461_01.p1,3
Unigene002842_03.p1,3
Unigene007726_02.p1,3
Unigene008507_01.p1,3
Unigene029405_02.p1,3
Unigene027702_02.p1,3
Unigene019449_01.p1,3
Unigene000946_01.p1,3
Unigene002222_01.p1,3
Unigene030968_01.p1,3
Unigene046286_01.p1,3
Unigene031750_01.p1,3
Unigene039415_01.p1,3
Unigene019177_01.p1,3
Unigene017555_01.p1,3
Unigene018474_01.p1,3
Unigene037567_01.p1,3
Unigene039924_01.p1,3
Unigene035872_01.p1,3
Unigene033638_01.p1,3
Unigene018926_01.p1,3
